,time,pluvio
146,2022-08-17 02:00:00,0.0
147,2022-08-17 03:00:00,0.0
148,2022-08-17 04:00:00,0.2
149,2022-08-17 05:00:00,1.0
150,2022-08-17 06:00:00,1.0
151,2022-08-17 07:00:00,0.2
152,2022-08-17 08:00:00,0.0
153,2022-08-17 09:00:00,0.0
154,2022-08-17 10:00:00,0.0
155,2022-08-17 11:00:00,0.0
156,2022-08-17 12:00:00,0.0
157,2022-08-17 13:00:00,0.0
158,2022-08-17 14:00:00,0.0
159,2022-08-17 15:00:00,0.0
160,2022-08-17 16:00:00,0.0
161,2022-08-17 17:00:00,0.0
162,2022-08-17 18:00:00,0.0
163,2022-08-17 19:00:00,0.0
164,2022-08-17 20:00:00,0.0
165,2022-08-17 21:00:00,0.0
166,2022-08-17 22:00:00,0.0
167,2022-08-17 23:00:00,0.0
168,2022-08-18 00:00:00,0.0
169,2022-08-18 01:00:00,0.0
170,2022-08-18 02:00:00,0.0
171,2022-08-18 03:00:00,0.0
172,2022-08-18 04:00:00,0.0
173,2022-08-18 05:00:00,0.0
174,2022-08-18 06:00:00,0.0
175,2022-08-18 07:00:00,0.0
176,2022-08-18 08:00:00,0.0
177,2022-08-18 09:00:00,0.0
178,2022-08-18 10:00:00,0.0
179,2022-08-18 11:00:00,0.0
180,2022-08-18 12:00:00,0.0
181,2022-08-18 13:00:00,0.0
182,2022-08-18 14:00:00,0.0
183,2022-08-18 15:00:00,0.0
184,2022-08-18 16:00:00,0.0
185,2022-08-18 17:00:00,0.0
186,2022-08-18 18:00:00,0.0
187,2022-08-18 19:00:00,0.0
188,2022-08-18 20:00:00,0.0
189,2022-08-18 21:00:00,0.0
190,2022-08-18 22:00:00,0.0
191,2022-08-18 23:00:00,0.0
192,2022-08-19 00:00:00,0.0
193,2022-08-19 01:00:00,0.0
194,2022-08-19 02:00:00,0.0
195,2022-08-19 03:00:00,0.0
196,2022-08-19 04:00:00,0.0
197,2022-08-19 05:00:00,0.0
198,2022-08-19 06:00:00,0.0
199,2022-08-19 07:00:00,0.0
200,2022-08-19 08:00:00,0.0
201,2022-08-19 09:00:00,0.4
202,2022-08-19 10:00:00,0.2
203,2022-08-19 11:00:00,0.0
204,2022-08-19 12:00:00,0.2
205,2022-08-19 13:00:00,0.0
206,2022-08-19 14:00:00,0.0
207,2022-08-19 15:00:00,0.0
208,2022-08-19 16:00:00,0.0
209,2022-08-19 17:00:00,0.0
210,2022-08-19 18:00:00,0.0
211,2022-08-19 19:00:00,0.0
212,2022-08-19 20:00:00,0.0
213,2022-08-19 21:00:00,0.0
214,2022-08-19 22:00:00,0.2
215,2022-08-19 23:00:00,1.0
216,2022-08-20 00:00:00,0.6
217,2022-08-20 01:00:00,0.2
218,2022-08-20 02:00:00,1.0
219,2022-08-20 03:00:00,1.0
220,2022-08-20 04:00:00,0.8
221,2022-08-20 05:00:00,3.4
222,2022-08-20 06:00:00,0.0
223,2022-08-20 07:00:00,0.2
224,2022-08-20 08:00:00,0.0
225,2022-08-20 09:00:00,0.0
226,2022-08-20 10:00:00,0.0
227,2022-08-20 11:00:00,0.0
228,2022-08-20 12:00:00,0.0
229,2022-08-20 13:00:00,0.0
230,2022-08-20 14:00:00,0.0
231,2022-08-20 15:00:00,0.0
232,2022-08-20 16:00:00,0.0
233,2022-08-20 17:00:00,0.0
234,2022-08-20 18:00:00,0.0
235,2022-08-20 19:00:00,0.0
236,2022-08-20 20:00:00,0.0
237,2022-08-20 21:00:00,0.0
238,2022-08-20 22:00:00,0.0
239,2022-08-20 23:00:00,0.0
240,2022-08-21 00:00:00,0.0
241,2022-08-21 01:00:00,0.0
242,2022-08-21 02:00:00,0.0
243,2022-08-21 03:00:00,0.0
244,2022-08-21 04:00:00,0.0
245,2022-08-21 05:00:00,0.0
246,2022-08-21 06:00:00,0.0
247,2022-08-21 07:00:00,0.0
248,2022-08-21 08:00:00,0.0
249,2022-08-21 09:00:00,0.0
250,2022-08-21 10:00:00,0.0
251,2022-08-21 11:00:00,0.0
252,2022-08-21 12:00:00,0.0
